"Longitud de onda (nm)";"Absorbancia";"Tratamiento"
749;"0.048362";"Crema Con Extracto 1"
748;"0.048382";"Crema Con Extracto 1"
747;"0.046723";"Crema Con Extracto 1"
746;"0.048080";"Crema Con Extracto 1"
745;"0.049087";"Crema Con Extracto 1"
744;"0.049773";"Crema Con Extracto 1"
743;"0.048440";"Crema Con Extracto 1"
742;"0.047946";"Crema Con Extracto 1"
741;"0.048217";"Crema Con Extracto 1"
740;"0.049727";"Crema Con Extracto 1"
739;"0.050316";"Crema Con Extracto 1"
738;"0.050317";"Crema Con Extracto 1"
737;"0.050588";"Crema Con Extracto 1"
736;"0.047327";"Crema Con Extracto 1"
735;"0.048029";"Crema Con Extracto 1"
734;"0.049555";"Crema Con Extracto 1"
733;"0.050293";"Crema Con Extracto 1"
732;"0.049988";"Crema Con Extracto 1"
731;"0.049011";"Crema Con Extracto 1"
730;"0.048243";"Crema Con Extracto 1"
729;"0.048486";"Crema Con Extracto 1"
728;"0.050789";"Crema Con Extracto 1"
727;"0.050330";"Crema Con Extracto 1"
726;"0.049673";"Crema Con Extracto 1"
725;"0.048253";"Crema Con Extracto 1"
724;"0.049467";"Crema Con Extracto 1"
723;"0.050342";"Crema Con Extracto 1"
722;"0.051268";"Crema Con Extracto 1"
721;"0.051419";"Crema Con Extracto 1"
720;"0.050008";"Crema Con Extracto 1"
719;"0.048769";"Crema Con Extracto 1"
718;"0.048836";"Crema Con Extracto 1"
717;"0.050644";"Crema Con Extracto 1"
716;"0.051488";"Crema Con Extracto 1"
715;"0.051341";"Crema Con Extracto 1"
714;"0.049572";"Crema Con Extracto 1"
713;"0.049114";"Crema Con Extracto 1"
712;"0.050013";"Crema Con Extracto 1"
711;"0.050918";"Crema Con Extracto 1"
710;"0.052266";"Crema Con Extracto 1"
709;"0.051417";"Crema Con Extracto 1"
708;"0.052122";"Crema Con Extracto 1"
707;"0.050493";"Crema Con Extracto 1"
706;"0.050980";"Crema Con Extracto 1"
705;"0.052501";"Crema Con Extracto 1"
704;"0.051882";"Crema Con Extracto 1"
703;"0.051773";"Crema Con Extracto 1"
702;"0.050581";"Crema Con Extracto 1"
701;"0.050898";"Crema Con Extracto 1"
700;"0.051329";"Crema Con Extracto 1"
699;"0.053295";"Crema Con Extracto 1"
698;"0.052574";"Crema Con Extracto 1"
697;"0.051355";"Crema Con Extracto 1"
696;"0.051558";"Crema Con Extracto 1"
695;"0.051594";"Crema Con Extracto 1"
694;"0.053561";"Crema Con Extracto 1"
693;"0.053209";"Crema Con Extracto 1"
692;"0.052818";"Crema Con Extracto 1"
691;"0.051621";"Crema Con Extracto 1"
690;"0.052365";"Crema Con Extracto 1"
689;"0.053306";"Crema Con Extracto 1"
688;"0.052971";"Crema Con Extracto 1"
687;"0.052734";"Crema Con Extracto 1"
686;"0.052736";"Crema Con Extracto 1"
685;"0.052218";"Crema Con Extracto 1"
684;"0.052624";"Crema Con Extracto 1"
683;"0.052002";"Crema Con Extracto 1"
682;"0.053585";"Crema Con Extracto 1"
681;"0.053892";"Crema Con Extracto 1"
680;"0.053687";"Crema Con Extracto 1"
679;"0.053058";"Crema Con Extracto 1"
678;"0.053760";"Crema Con Extracto 1"
677;"0.052763";"Crema Con Extracto 1"
676;"0.054145";"Crema Con Extracto 1"
675;"0.052572";"Crema Con Extracto 1"
674;"0.052926";"Crema Con Extracto 1"
673;"0.052354";"Crema Con Extracto 1"
672;"0.053082";"Crema Con Extracto 1"
671;"0.053819";"Crema Con Extracto 1"
670;"0.054076";"Crema Con Extracto 1"
669;"0.053162";"Crema Con Extracto 1"
668;"0.054589";"Crema Con Extracto 1"
667;"0.054583";"Crema Con Extracto 1"
666;"0.053185";"Crema Con Extracto 1"
665;"0.053448";"Crema Con Extracto 1"
664;"0.055237";"Crema Con Extracto 1"
663;"0.053243";"Crema Con Extracto 1"
662;"0.053600";"Crema Con Extracto 1"
661;"0.055032";"Crema Con Extracto 1"
660;"0.053179";"Crema Con Extracto 1"
659;"0.054936";"Crema Con Extracto 1"
658;"0.054484";"Crema Con Extracto 1"
657;"0.055092";"Crema Con Extracto 1"
656;"0.056882";"Crema Con Extracto 1"
655;"0.055162";"Crema Con Extracto 1"
654;"0.054339";"Crema Con Extracto 1"
653;"0.053461";"Crema Con Extracto 1"
652;"0.054218";"Crema Con Extracto 1"
651;"0.055899";"Crema Con Extracto 1"
650;"0.056601";"Crema Con Extracto 1"
649;"0.055208";"Crema Con Extracto 1"
648;"0.054564";"Crema Con Extracto 1"
647;"0.054126";"Crema Con Extracto 1"
646;"0.057026";"Crema Con Extracto 1"
645;"0.056694";"Crema Con Extracto 1"
644;"0.056649";"Crema Con Extracto 1"
643;"0.054992";"Crema Con Extracto 1"
642;"0.054223";"Crema Con Extracto 1"
641;"0.055187";"Crema Con Extracto 1"
640;"0.056074";"Crema Con Extracto 1"
639;"0.057597";"Crema Con Extracto 1"
638;"0.056765";"Crema Con Extracto 1"
637;"0.055699";"Crema Con Extracto 1"
636;"0.055361";"Crema Con Extracto 1"
635;"0.055463";"Crema Con Extracto 1"
634;"0.057288";"Crema Con Extracto 1"
633;"0.058692";"Crema Con Extracto 1"
632;"0.056591";"Crema Con Extracto 1"
631;"0.054670";"Crema Con Extracto 1"
630;"0.055310";"Crema Con Extracto 1"
629;"0.055880";"Crema Con Extracto 1"
628;"0.056720";"Crema Con Extracto 1"
627;"0.057195";"Crema Con Extracto 1"
626;"0.057975";"Crema Con Extracto 1"
625;"0.056576";"Crema Con Extracto 1"
624;"0.056643";"Crema Con Extracto 1"
623;"0.056967";"Crema Con Extracto 1"
622;"0.058332";"Crema Con Extracto 1"
621;"0.056804";"Crema Con Extracto 1"
620;"0.055795";"Crema Con Extracto 1"
619;"0.057369";"Crema Con Extracto 1"
618;"0.057336";"Crema Con Extracto 1"
617;"0.057316";"Crema Con Extracto 1"
616;"0.058433";"Crema Con Extracto 1"
615;"0.058486";"Crema Con Extracto 1"
614;"0.057983";"Crema Con Extracto 1"
613;"0.057506";"Crema Con Extracto 1"
612;"0.056941";"Crema Con Extracto 1"
611;"0.058654";"Crema Con Extracto 1"
610;"0.058594";"Crema Con Extracto 1"
609;"0.058816";"Crema Con Extracto 1"
608;"0.059940";"Crema Con Extracto 1"
607;"0.058464";"Crema Con Extracto 1"
606;"0.058456";"Crema Con Extracto 1"
605;"0.057772";"Crema Con Extracto 1"
604;"0.059851";"Crema Con Extracto 1"
603;"0.058512";"Crema Con Extracto 1"
602;"0.058251";"Crema Con Extracto 1"
601;"0.059523";"Crema Con Extracto 1"
600;"0.057701";"Crema Con Extracto 1"
599;"0.059447";"Crema Con Extracto 1"
598;"0.059519";"Crema Con Extracto 1"
597;"0.058850";"Crema Con Extracto 1"
596;"0.058775";"Crema Con Extracto 1"
595;"0.059521";"Crema Con Extracto 1"
594;"0.059854";"Crema Con Extracto 1"
593;"0.059677";"Crema Con Extracto 1"
592;"0.059446";"Crema Con Extracto 1"
591;"0.059147";"Crema Con Extracto 1"
590;"0.058086";"Crema Con Extracto 1"
589;"0.060394";"Crema Con Extracto 1"
588;"0.059952";"Crema Con Extracto 1"
587;"0.060089";"Crema Con Extracto 1"
586;"0.059424";"Crema Con Extracto 1"
585;"0.060168";"Crema Con Extracto 1"
584;"0.061318";"Crema Con Extracto 1"
583;"0.060983";"Crema Con Extracto 1"
582;"0.060444";"Crema Con Extracto 1"
581;"0.059126";"Crema Con Extracto 1"
