"Longitud de onda (nm)","Absorbancia","Tratamiento"
749,"0.048362","Crema Con Extracto"
748,"0.048382","Crema Con Extracto"
747,"0.046723","Crema Con Extracto"
746,"0.048080","Crema Con Extracto"
745,"0.049087","Crema Con Extracto"
744,"0.049773","Crema Con Extracto"
743,"0.048440","Crema Con Extracto"
742,"0.047946","Crema Con Extracto"
741,"0.048217","Crema Con Extracto"
740,"0.049727","Crema Con Extracto"
739,"0.050316","Crema Con Extracto"
738,"0.050317","Crema Con Extracto"
737,"0.050588","Crema Con Extracto"
736,"0.047327","Crema Con Extracto"
735,"0.048029","Crema Con Extracto"
734,"0.049555","Crema Con Extracto"
733,"0.050293","Crema Con Extracto"
732,"0.049988","Crema Con Extracto"
731,"0.049011","Crema Con Extracto"
730,"0.048243","Crema Con Extracto"
729,"0.048486","Crema Con Extracto"
728,"0.050789","Crema Con Extracto"
727,"0.050330","Crema Con Extracto"
726,"0.049673","Crema Con Extracto"
725,"0.048253","Crema Con Extracto"
724,"0.049467","Crema Con Extracto"
723,"0.050342","Crema Con Extracto"
722,"0.051268","Crema Con Extracto"
721,"0.051419","Crema Con Extracto"
720,"0.050008","Crema Con Extracto"
719,"0.048769","Crema Con Extracto"
718,"0.048836","Crema Con Extracto"
717,"0.050644","Crema Con Extracto"
716,"0.051488","Crema Con Extracto"
715,"0.051341","Crema Con Extracto"
714,"0.049572","Crema Con Extracto"
713,"0.049114","Crema Con Extracto"
712,"0.050013","Crema Con Extracto"
711,"0.050918","Crema Con Extracto"
710,"0.052266","Crema Con Extracto"
709,"0.051417","Crema Con Extracto"
708,"0.052122","Crema Con Extracto"
707,"0.050493","Crema Con Extracto"
706,"0.050980","Crema Con Extracto"
705,"0.052501","Crema Con Extracto"
704,"0.051882","Crema Con Extracto"
703,"0.051773","Crema Con Extracto"
702,"0.050581","Crema Con Extracto"
701,"0.050898","Crema Con Extracto"
700,"0.051329","Crema Con Extracto"
699,"0.053295","Crema Con Extracto"
698,"0.052574","Crema Con Extracto"
697,"0.051355","Crema Con Extracto"
696,"0.051558","Crema Con Extracto"
695,"0.051594","Crema Con Extracto"
694,"0.053561","Crema Con Extracto"
693,"0.053209","Crema Con Extracto"
692,"0.052818","Crema Con Extracto"
691,"0.051621","Crema Con Extracto"
690,"0.052365","Crema Con Extracto"
689,"0.053306","Crema Con Extracto"
688,"0.052971","Crema Con Extracto"
687,"0.052734","Crema Con Extracto"
686,"0.052736","Crema Con Extracto"
685,"0.052218","Crema Con Extracto"
684,"0.052624","Crema Con Extracto"
683,"0.052002","Crema Con Extracto"
682,"0.053585","Crema Con Extracto"
681,"0.053892","Crema Con Extracto"
680,"0.053687","Crema Con Extracto"
679,"0.053058","Crema Con Extracto"
678,"0.053760","Crema Con Extracto"
677,"0.052763","Crema Con Extracto"
676,"0.054145","Crema Con Extracto"
675,"0.052572","Crema Con Extracto"
674,"0.052926","Crema Con Extracto"
673,"0.052354","Crema Con Extracto"
672,"0.053082","Crema Con Extracto"
671,"0.053819","Crema Con Extracto"
670,"0.054076","Crema Con Extracto"
669,"0.053162","Crema Con Extracto"
668,"0.054589","Crema Con Extracto"
667,"0.054583","Crema Con Extracto"
666,"0.053185","Crema Con Extracto"
665,"0.053448","Crema Con Extracto"
664,"0.055237","Crema Con Extracto"
663,"0.053243","Crema Con Extracto"
662,"0.053600","Crema Con Extracto"
661,"0.055032","Crema Con Extracto"
660,"0.053179","Crema Con Extracto"
659,"0.054936","Crema Con Extracto"
658,"0.054484","Crema Con Extracto"
